word,chinese_learner_error,error_type,correction,ai_recognition_notes,evidence_tag
significant,"equal stress across syllables (Part IV Ch.2 Mistake 1)",stress,"exaggerate stress on syllable 2 during drilling","stress-shifted production risks Content mismatch",Hypothesis
approach,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"exaggerate the /oʊ/ glide","collapsed diphthong may lower Pronunciation band without changing Content",Hypothesis
environment,"v→w substitution (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ (teeth-on-lip friction) vs /w/ (rounded lips)","v→w risks Content mismatch if word identity shifts",Hypothesis
individual,"v→w substitution; equal stress (Part IV Ch.1 Mistake 2, Ch.2 Mistake 1)","consonant, stress","mark primary/secondary stress explicitly before shadowing","flattened stress on a 5-syllable word raises unintelligibility risk",Hypothesis
establish,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"practice final cluster as one continuous sequence, no inserted vowel","dropped final consonant risks Content substitution",Hypothesis
particular,"rhotic vowel under-production",vowel,"drill both /ər/ syllables in sequence","flattened rhotic vowel is mainly a Pronunciation-band issue",Hypothesis
specific,"initial-cluster epenthesis (extension of Part IV Ch.1 Mistake 4 to onset position)",consonant,"practice /sp-/ as a single unbroken onset","inserted vowel may register as an insertion error under Content",Hypothesis
available,"v→w substitution; syllable-final /l/ weakening (Part IV Ch.1 Mistakes 2 and 5)","consonant","drill final /-bəl/ maintaining full alveolar contact","two compounding error sources raise combined Content risk",Hypothesis
consistent,"consonant cluster simplification (Part IV Ch.1 Mistake 4)",consonant,"drill /st/ and /nt/ clusters separately then combined","cluster simplification is mainly a Pronunciation-band issue here",Hypothesis
previous,"v→w substitution (Part IV Ch.1 Mistake 2)",consonant,"drill /v/ in isolation before the full word","low Content risk; primarily Pronunciation-band",Hypothesis
research,"noun/verb stress-pair confusion (Part II Ch.4)",stress,"drill both stress patterns, noting which usage requires which","wrong stress pattern for the grammatical form risks Content mismatch",Hypothesis
analysis,"wrong-syllable stress (Part IV Ch.2 Mistake 3)",stress,"contrast singular/plural stress and vowel quality","misplaced stress risks sounding like an unintended word form",Hypothesis
therefore,"ð→d/z substitution (Part IV Ch.1 Mistake 1)",consonant,"drill /ð/ tongue-between-teeth explicitly","high-frequency discourse marker; substitution recurs and compounds",Hypothesis
however,"diphthong monophthongization (Part IV Ch.5 Mistake 2)",vowel,"exaggerate /aʊ/ glide before natural-speed shadowing","frequent discourse marker; recurring error compounds across a response",Hypothesis
although,"ð→d/z substitution; diphthong monophthongization (Part IV Ch.1 Mistake 1, Ch.5 Mistake 2)","consonant, vowel","drill /ð/ and /oʊ/ glide separately then combined","two compounding error sources in one short high-frequency word",Hypothesis
develop,"v→w substitution; final consonant deletion (Part IV Ch.1 Mistakes 2 and 3)",consonant,"hold final /p/ closure without releasing into a vowel","dropped final /p/ risks Content mismatch in connected speech",Hypothesis
